уникальный номер,направление 1,направление 2,направление 3,адрес площадки,округ площадки,район площадки,расписание в активных периодах,расписание в плановом периоде,exp_date,exp_date2,geo
801347850,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Гимнастика,"город Москва, Малый Краснопрудный тупик, дом 1, строение 1",Центральный административный округ,Без района,"c 09.01.2023 по 24.12.2023, Пн., Чт. 09:30-10:30, без перерыва",,2023-12-24,,
801368538,Образование,Пеший лекторий,Краеведение и пешие прогулки,"г. Москва, улица Сальвадора Альенде, дом 1",Северный административный округ,муниципальный округ Сокол,"c 31.01.2023 по 31.12.2023, Вт. 11:30-13:30, без перерыва",,2023-12-31,,55.796192 37.511086
801350861,Образование,Пеший лекторий,Краеведение и пешие прогулки,"город Москва, Бойцовая улица, дом 24, корпус 4, город Москва, Театральная площадь, дом 5, строение 1, г. Москва, Бойцовая улица, дом 10, корпус 5",Восточный административный округ,муниципальный округ Богородское,"c 09.01.2023 по 31.05.2023, Ср. 12:30-14:30, без перерыва",,2023-05-31,,55.809241 37.715076
801349992,Танцы,Танцы,Латиноамериканские танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8, г. Москва, Делегатская улица, дом 7, строение 1, город Москва, улица Малая Дмитровка, дом 27",Центральный административный округ,муниципальный округ Тверской,"c 04.02.2023 по 31.12.2023, Пт. 17:00-19:00, без перерыва, Пн. 13:00-15:00, без перерыва",,2023-12-31,,55.775874 37.612057
801361324,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Гимнастика,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,Без района,"c 20.01.2023 по 31.12.2023, Пт. 11:00-13:00, без перерыва",,2023-12-31,,
801360980,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Гимнастика,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,Без района,"c 22.03.2023 по 31.12.2023, Вт. 11:00-13:00, без перерыва",,2023-12-31,,
801349465,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Графика,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,Без района,"c 24.01.2023 по 31.12.2023, Вт., Чт. 19:00-21:00, без перерыва",,2023-12-31,,
801352353,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 11:00-12:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352363,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352368,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 13:00-14:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352372,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352379,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн., Ср. 13:00-14:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352385,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн., Ср. 14:00-15:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352400,Рисование,Рисование,Рисование анти-стресс,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 13:00-14:00, без перерыва",,2023-12-24,,55.771864 37.642267
801352405,Рисование,Рисование,Рисование анти-стресс,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-24,,55.771864 37.642267
801349428,Танцы,Танцы,Латиноамериканские танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8, город Москва, улица Малая Дмитровка, дом 27",Центральный административный округ,муниципальный округ Тверской,"c 31.03.2023 по 31.12.2023, Вт. 17:00-19:00, без перерыва, Пт. 13:00-15:00, без перерыва",,2023-12-31,,55.771104 37.604682
801349846,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 11.01.2023 по 31.12.2023, Ср. 13:00-15:00, без перерыва",,2023-12-31,,55.771899 37.593435
801350587,Танцы,Танцы,Латиноамериканские танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8, г. Москва, Делегатская улица, дом 7, строение 1, город Москва, улица Малая Дмитровка, дом 27",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Сб. 13:00-15:00, без перерыва",,2023-12-31,,55.775874 37.612057
801348374,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Пн., Чт. 13:00-15:00, без перерыва",,2023-12-31,,55.771899 37.593435
801350753,Танцы,Танцы,Спортивные танцы,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-12-24,,55.775864 37.660413
801351227,Танцы,Танцы,Танцы для всех,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Ср., Пт. 13:30-14:30, без перерыва",,2023-12-24,,55.775864 37.660413
801352365,Танцы,Танцы,Латиноамериканские танцы,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн. 14:00-16:00, без перерыва",,2023-12-24,,55.775864 37.660413
801351226,Танцы,Танцы,Латиноамериканские танцы,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Ср. 12:00-14:00, без перерыва",,2023-12-24,,55.775864 37.660413
801351484,Физическая активность,ОФП,ОФП,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Ср., Пт. 12:00-13:00, без перерыва",,2023-12-24,,55.775864 37.660413
801352419,Физическая активность,Гимнастика,Гимнастика,"город Москва, Садовая-Спасская улица, дом 19, корпус 1, г. Москва, Садовая-Спасская улица, дом 19, строение 1",Центральный административный округ,муниципальный округ Красносельский,"c 01.04.2023 по 24.12.2023, Пн., Чт. 09:30-10:30, без перерыва",,2023-12-24,,55.769621 37.647531
801352424,Физическая активность,Гимнастика,Гимнастика,"город Москва, Садовая-Спасская улица, дом 19, корпус 1, г. Москва, Садовая-Спасская улица, дом 19, строение 1",Центральный административный округ,муниципальный округ Красносельский,"c 01.04.2023 по 24.12.2023, Пн., Чт. 11:00-12:00, без перерыва",,2023-12-24,,55.769621 37.647531
801349293,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Вт. 13:00-15:00, без перерыва",,2023-12-31,,55.771899 37.593435
801352411,Физическая активность,Спортивные игры,Дартс,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн., Ср. 15:00-16:00, без перерыва",,2023-12-24,,55.771864 37.642267
801349994,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Ср., Пт. 15:00-17:00, без перерыва",,2023-12-31,,55.771899 37.593435
801350146,Физическая активность,Гимнастика,Йога,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Чт. 09:00-11:00, без перерыва, Сб. 10:00-12:00, без перерыва",,2023-12-31,,55.771899 37.593435
801351963,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Сб., Вс. 13:00-15:00, без перерыва",,2023-12-31,,55.771899 37.593435
801358794,Танцы,Танцы,Латиноамериканские танцы,"город Москва, Комсомольская площадь, дом 6",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Чт. 12:15-14:15, без перерыва",,2023-12-24,,55.775864 37.660413
801359429,Танцы,Танцы,Восточные танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Пн., Ср. 11:00-13:00, без перерыва",,2023-12-31,,55.771899 37.593435
801362302,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Рисование анти-стресс,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,Без района,"c 20.01.2023 по 31.12.2023, Пн., Пт. 15:00-17:00, без перерыва",,2023-12-31,,
801362299,Танцы,Танцы,Восточные танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 19.01.2023 по 31.12.2023, Чт., Пт. 11:00-13:00, без перерыва",,2023-12-31,,55.771899 37.593435
801360164,Физическая активность,"Фитнес, тренажеры",Пилатес,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Ср., Пт. 09:00-11:00, без перерыва",,2023-12-31,,55.771899 37.593435
801362066,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн., Ср. 11:00-12:00, без перерыва",,2023-12-24,,55.771864 37.642267
801362077,Физическая активность,Спортивные игры,Тир. Стрельба из пневматического/лазерного оружия,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Пн., Ср. 12:00-13:00, без перерыва",,2023-12-24,,55.771864 37.642267
801362260,Рисование,Рисование,Рисование анти-стресс,"город Москва, Садовая-Спасская улица, дом 1/2, корпус А",Центральный административный округ,муниципальный округ Красносельский,"c 09.01.2023 по 24.12.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-12-24,,55.771864 37.642267
801368396,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, Михалковская улица, дом 22",Северный административный округ,муниципальный округ Коптево,"c 09.01.2023 по 18.12.2023, Пн. 13:00-15:00, без перерыва",,2023-12-18,,55.839684 37.529106
801362300,Танцы,Танцы,Латиноамериканские танцы,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Пт. 16:00-18:00, без перерыва",,2023-12-31,,55.771899 37.593435
801362301,Танцы,Танцы,Танцы для всех,"г. Москва, 1-я Тверская-Ямская улица, дом 8",Центральный административный округ,муниципальный округ Тверской,"c 01.01.2023 по 31.12.2023, Ср. 12:00-14:00, без перерыва",,2023-12-31,,55.771899 37.593435
801364142,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, улица Грекова, дом 12",Северо-Восточный административный округ,муниципальный округ Северное Медведково,"c 10.01.2023 по 31.12.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-12-31,,55.889285 37.662937
801371658,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Печорская улица, дом 10, корпус 2",Северо-Восточный административный округ,муниципальный округ Бабушкинский,"c 10.01.2023 по 31.12.2023, Вт., Чт. 12:30-13:30, без перерыва",,2023-12-31,,55.864667 37.666971
801365082,Спецпроект / Интеллектуальный клуб,Интеллектуальный клуб. История/Искусство,Клуб любителей истории,"г. Москва, Ломоносовский проспект, дом 27, корпус 4",Западный административный округ,муниципальный округ Раменки,"c 09.02.2023 по 21.12.2023, Чт. 16:30-18:30, без перерыва",,2023-12-21,,55.700603 37.519449
